HomeTeam,AwayTeam,Elo_H_before,Elo_A_before,Home_adv_elo,H2H_score,H2H_GS_H_total,H2H_GS_A_total,H2H_GS_H_avg,H2H_GS_A_avg,GoalsScore_H,GoalsAgainst_H,GoalDifference_H,WinStreak_H,LoseStreak_H,Wins_H,Losses_H,WinRate_H,GoalsScore_H_avg,GoalsAgainst_H_avg,GoalsScore_A,GoalsAgainst_A,GoalDifference_A,WinStreak_A,LoseStreak_A,Wins_A,Losses_A,WinRate_A,GoalsScore_A_avg,GoalsAgainst_A_avg,Elo_diff,Elo_ratio,Goals_likelyhood_H,Goals_likelyhood_A,Home_adv_elo_sum,HomeTeam_code,AwayTeam_code
Chelsea,Ipswich,1641.33892,1453.768898,97.5,-1,2,4,1,2,8,6,2,0,1,3,1,0.6,1.6,1.2,4,12,-8,0,1,0,3,0,0.8,2.4,187.5700213,1.129023273,4,2,1738.83892,5,9
Liverpool,West Ham,1775.13597,1528.585579,37.5,4,14,5,2.8,1,11,9,2,0,1,2,2,0.4,2.2,1.8,7,7,0,0,1,1,2,0.2,1.4,1.4,246.5503908,1.161293155,3.6,3.2,1812.63597,11,18
Wolves,Tottenham,1523.196733,1565.549759,97.5,4,11,6,2.2,1.2,6,7,-1,0,3,2,3,0.4,1.2,1.4,5,14,-9,0,1,0,4,0,1,2.8,-42.35302565,0.972946867,4,2.4,1620.696733,19,17
Newcastle,Man United,1657.056402,1541.950054,127.5,3,11,4,2.2,0.8,7,6,1,0,1,2,2,0.4,1.4,1.2,5,12,-7,0,2,0,4,0,1,2.4,115.1063483,1.074649855,3.8,2.2,1784.556402,14,13
Bournemouth,Fulham,1586.826287,1561.143628,7.5,2,9,6,1.8,1.2,4,6,-2,0,2,1,2,0.2,0.8,1.2,4,8,-4,0,2,1,4,0.2,0.8,1.6,25.68265835,1.016451182,2.4,2,1594.326287,2,8
Newcastle,Crystal Palace,1657.056402,1608.655525,97.5,1,10,3,2,0.6,7,6,1,0,1,2,2,0.4,1.4,1.2,9,5,4,2,0,2,0,0.4,1.8,1,48.40087726,1.030087782,2.4,3,1754.556402,14,6
Brentford,Brighton,1592.687461,1595.794221,7.5,0,8,7,1.6,1.4,12,6,6,4,0,4,0,0.8,2.4,1.2,11,9,2,2,0,3,1,0.6,2.2,1.8,-3.106759762,0.998053158,4.2,3.4,1600.187461,3,4
Crystal Palace,Bournemouth,1608.655525,1586.826287,67.5,-1,2,3,0.4,0.6,5,8,-3,1,0,1,1,0.2,1,1.6,4,3,1,0,1,2,1,0.4,0.8,0.6,21.82923839,1.013756539,1.6,2.4,1676.155525,6,2
Everton,Man City,1573.959804,1766.258676,-22.5,-4,2,11,0.4,2.2,6,6,0,1,0,2,2,0.4,1.2,1.2,8,2,6,1,0,4,0,0.8,1.6,0.4,-192.2988716,0.891126439,1.6,2.8,1551.459804,7,12
West Ham,Southampton,1528.585579,1365.877665,7.5,1,6,5,1.2,1,7,7,0,1,0,1,2,0.2,1.4,1.4,2,8,-6,0,0,0,3,0,0.4,1.6,162.7079142,1.119123344,3,1.8,1536.085579,18,16
