HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,B365>2.5,B365<2.5,AHh
Crystal Palace,Brighton,2,1,1.8,2,-0.25
Ipswich,Wolves,1,2,2.1,1.73,0
West Ham,Bournemouth,2,2,1.8,2,0.25
Aston Villa,Nott'm Forest,2,1,1.8,2,-0.5
Brentford,Chelsea,0,0,1.53,2.5,0.25
Fulham,Liverpool,3,2,1.8,2,0.5
Tottenham,Southampton,3,1,1.4,3,-1.5
Man United,Man City,0,0,1.67,2.2,0.25
Leicester,Newcastle,0,3,1.62,2.3,1.25
Man City,Crystal Palace,5,2,1.53,2.5,-1
Brighton,Leicester,2,2,1.62,2.3,-1.5
Nott'm Forest,Everton,0,1,2.2,1.67,-0.25
Southampton,Aston Villa,0,3,1.62,2.3,1
Arsenal,Brentford,1,1,1.73,2.1,-1
Chelsea,Ipswich,2,2,1.44,2.75,-1.75
Liverpool,West Ham,2,1,1.53,2.5,-1.5
Wolves,Tottenham,4,2,1.67,2.2,-0.25
Newcastle,Man United,4,1,1.67,2.2,-0.75
Bournemouth,Fulham,1,0,1.73,2.1,-0.25
Newcastle,Crystal Palace,5,0,1.73,2.1,-0.75
Brentford,Brighton,4,2,1.57,2.38,0
Crystal Palace,Bournemouth,0,0,1.8,2,0
Everton,Man City,0,2,1.86,2.04,0.5
West Ham,Southampton,1,1,1.73,2.1,-1
Aston Villa,Newcastle,4,1,1.62,2.3,-0.25
Fulham,Chelsea,1,2,1.84,2.06,0.25
Ipswich,Arsenal,0,4,1.73,2.1,1.25
Man United,Wolves,0,1,1.97,1.93,-0.5
Leicester,Liverpool,0,1,1.44,2.75,1.75
Tottenham,Nott'm Forest,1,2,1.57,2.38,0
Man City,Aston Villa,2,1,1.53,2.5,-0.5
Arsenal,Crystal Palace,2,2,1.91,1.99,-1.25
Chelsea,Everton,1,0,1.88,2.02,-1
Brighton,West Ham,3,2,1.67,2.2,-0.75
Newcastle,Ipswich,3,0,1.36,3.2,-2
Southampton,Fulham,1,2,1.73,2.1,1
Wolves,Leicester,3,0,1.73,2.1,-1
Bournemouth,Man United,1,1,1.67,2.2,-0.75
Liverpool,Tottenham,5,1,1.33,3.4,-1.75
Nott'm Forest,Brentford,0,2,1.8,2,-0.25
Man City,Wolves,1,0,1.53,2.5,-1.25
Aston Villa,Fulham,1,0,1.68,2.05,-0.75
Everton,Ipswich,2,2,1.95,1.95,-1
Leicester,Southampton,2,0,1.68,2.05,-0.25
Arsenal,Bournemouth,1,2,1.87,2.03,-0.25
Brentford,Man United,4,3,1.67,2.2,-0.75
Brighton,Newcastle,1,1,1.53,2.5,0.25
West Ham,Tottenham,1,1,1.57,2.38,-0.25
Chelsea,Liverpool,3,1,1.53,2.5,-0.25
Crystal Palace,Nott'm Forest,1,1,2.01,1.89,-0.25
Fulham,Everton,1,3,2,1.8,-0.5
Ipswich,Brentford,0,1,1.53,2.5,1
Southampton,Man City,0,0,1.36,3.2,2
Wolves,Brighton,0,2,1.73,2.1,0
Bournemouth,Aston Villa,0,1,1.62,2.3,0
Newcastle,Chelsea,2,0,1.57,2.38,-0.25
Man United,West Ham,0,2,1.73,2.1,-0.5
Nott'm Forest,Leicester,2,2,1.67,2.2,-1.5
